Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
APX,https://apx.vc/,"Zimmerstraße 50, 10969 Berlin, Germany","Spain,Portugal,France,Netherlands,Belgium,Austria,Germany,Switzerland,UK,Israel,Poland,Serbia,Hungary,Luxembourg,Denmark,Sweden,Estonia,Latvia,Lithuania,Finland,Ireland,Italy,Croatia,Bosnia-H,Greece","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Europe-based very early stage software companies,VC,"$50,000","$100,000"
AQAL Capital,https://aqalcapital.com,"Cuvilliésstraße 14, 81679 München, Germany","Austria,Finland,Germany,Switzerland,USA,UK,Sweden","3. Early Revenue,2. Prototype,4. Scaling","We invest in state-of-the-art exponential technology companies which have the potential for integral impact, including substantial growth, while implementing the UN SDGs within the Planetary Boundaries.

We focus on seed and early-stage companies. Their leadership team must be strong, their technology must be proven, and should have a short runway to cash flow break-even.

Our regional focus is the European Union with the main emphasis on DACH (Germany, Austria, Switzerland). A few selected investments are also made in the San Francisco Bay Area.

According to our Integral Investing philosophy, the business models of our investees must be transferable to other countries, be scalable to market leadership, and deliver sustainable and risk-adjusted returns on multiple bottom lines as defined by our 6Ps: Parity of People, Planet, and Profit — with Passion and Purpose.

Given our investing expertise, background, and entrepreneurial experience, we are focusing on three main sectors of innovation for life in the 21st century:

Exponential Technology & Digital Evolution: Internet Infrastructure, Artificial Intelligence, B2B IT Solutions, Digital Design
Green Technology: Renewable Energy, Energy Efficiency, CleanTech, Circular Economy
Life in the 21st century: Future Mobility, Nutrition & Agro, Med Tech, Media & Entertainment Tech

Our thesis is best described in our book ""Integral Investing: From Profit to Prosperity"" by Mariana Bozesan, published by Springer.
https://aqalgroup.com/book-integral-investing/

Our current portfolio https://aqalgroup.com/portfolio/ focuses on AI, Health, and DeepTech.",Family office,"$25,000","$100,000"
Arali Ventures,https://araliventures.in/,"3rd floor, excubator Building, 19th Main, HSR, Bangalore ","USA,India,Singapore,Norway","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Indian origin/ indian founder startups at prototype stage solving enterprise problems using new-age tech,VC,"$500,000","$1,000,000"
Arborview Capital,http://www.arborviewcapital.com/,"5425 Wisconsin Ave, Suite 704, Chevy Chase, MD 20815, US","Canada,Mexico,USA","4. Scaling,5. Growth","We invest in high-quality management teams building a more environmentally sound, resource-efficient future.

",VC,"$5,000,000","$15,000,000"
Arc Ventures,https://arc-vc.com/,"655 3rd Ave, New York, NY 10017, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,6. Pre-IPO","We invest in US-based Enterprise SaaS, deep-tech, fin-tech, and prop-tech companies.",VC,"$500,000","$2,500,000"
Arcanum Ventures,https://www.arcanum.ventures/,"Oceania Business Plaza 21st Floor, Tower 1000 Isaac Hanono Missri Street Punta Pacifica, Panama City Republic of Panama","Vietnam,Switzerland,USA,Brazil,India,Thailand,Germany,Brunei,UAE,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We are sector agnostic, investing in transfomrative tech like blockchain, web3, crypto, ai, machine learning, agents, tokenization, stablecoins, biotech, agritech, space tech, green tech, SaaS, and more.",Other,"$40,000","$200,000"
Arcarian Capital,https://www.arcariancapital.com/,"77 Lower Camden Street, Dublin D02 XE80, Republic of Ireland","Ireland,UK,Singapore,Portugal,Spain,Netherlands,South Africa","3. Early Revenue,4. Scaling,5. Growth","We invest in retail, hospitality, professional services, financial services, consumer products and smart manufacturing at early stage and growth stage.",Family office,"$10,000","$250,000"
Archangel Ventures,https://www.archangel.vc/,"27/209 Toorak Rd, South Yarra VIC 3141, Australia","Australia,New Zealand,Singapore",3. Early Revenue,We invest in Australian and New Zealand pre-seed and seed stage companies.,VC,"$20,000","$500,000"
Arctern Ventures,https://www.arcternventures.com/,"101 College St, Suite 155, Toronto, Ontario M5G 1L7, CA","Canada,USA,Andorra,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Australia","2. Prototype,3. Early Revenue","We invest in venture-scale companies tackling climate change and sustainability (energy, mobility & logistics, foodtech & agtech, circular economy, advanced manufacturing & materials, resiliency & adaptation)",VC,"$1,000,000","$5,000,000"
Ardent Venture Partners,https://ardent.vc,"2000 Pennsylvania Ave NW, Washington, DC 20006 United States",USA,"3. Early Revenue,4. Scaling","We invest in US-based B2B companies that transform the way work gets done, such as: Vertical SaaS, Fintech, Future of Work, Dev tools, and Security",VC,"$250,000","$5,000,000"
Argo Capital,https://argocapital.org,"Dubai, UAE","USA,France,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in driven and talented founders in industries with tailwind.,Family office,"$100,000","$3,000,000"
Ariel Savannah Angel Partners,https://asap-invests.com/,"PO Box 1595 Richmond Hill, GA 31324",USA,"2. Prototype,3. Early Revenue","We invest in early-stage technology companies offering proprietary, disruptive innovations with significant growth potential and returns. Minimum of two complementary founders (no sole proprietors or lifestyle businesses). Scalable business model, TAM >$100M, validated proof-of-concept, robust go-to-market strategy, clear funding milestones, defined five-year exit plan, and valuation aligned with opportunity and risk.",Angel network,"$100,000","$2,000,000"
Ariella Brown,,"NY, USA",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in very young companies that have a clear idea of what they're about. I'm looking for an offering that is clearly differentiated and that is informed by good design. That doesn't mean it just looks good but that it is intuitive and quickly adapted into the tasks it is meant to improve,Solo angel,"$50,000","$100,000"
Aritek Group,https://aritek.group,"Basel-City, Switzerland","Switzerland,Germany,Austria","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in ideas and in the people who bring them to life. Whether you're starting something new or backing what’s next – Aritek offers the structure, freedom and momentum to make it real.",Startup studio,$0,"$250,000"
ArK Kapital,https://www.arkkapital.com/,"Eriksbergsgatan 31, Stockholm, SE","UK,Germany,Sweden,Denmark,Finland,USA","3. Early Revenue,4. Scaling,5. Growth","We finance companies with predictable revenue streams. 

The Ark Growth Loan is designed to be the best complement to venture capital. The terms are custom in partnership to fit the nature of your growth trajectory - ranging between €1-€10m with maturities up to 7 years - so you won’t get weighed down in crucial states of your journey. 

We fund any models with predictable revenue streams, e.g. software, fintech, ecommerce ",Other,"$1,000,000","$20,000,000"
Arkéa Capital,https://www.arkea-capital.com/,"3 rue des colonies, 29200 Brest, France",France,"4. Scaling,5. Growth","We invest in climate and energy transition (carbon, biodiversity, pollution reduction, etc.), the circular economy (biosourced materials, recycling, eco-responsibility, etc.), human capital (HR, training, education, etc.) and health (silvertech, healthtech, etc.).",VC,"$2,000,000","$5,000,000"
Arkstons Capital,https://venture.angellist.com/arkstons-capital/syndicate,"London, United Kingdom","India,UAE,UK,USA,Singapore","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in IoT, Fintech, SaaS, Tech, EdTech across stages",Angel network,"$50,000","$500,000"
ArkStream Capital,https://arkstream.capital/#/Home,"Grand Cayman, Cayman Islands ","China,USA","3. Early Revenue,2. Prototype,4. Scaling","We invest in fintech, web3, and blockchain related companies.",VC,"$100,000","$2,000,000"
Army Venture Capital Corporation,https://www.army.vc/,"Alameda, CA","USA,UK,Australia,Canada","4. Scaling,5. Growth",We invest in companies building national security relevant technologies who are nearing sufficient maturity to sell to the government,VC,"$500,000","$2,000,000"
Arrebol Capital,https://arrebolcap.com/,"Los Gatos, CA, USA","Colombia,Brazil,Mexico,Argentina,Chile,Peru,Uruguay","3. Early Revenue,4. Scaling","We invest in seed stage / series A startups using technology to target the LatAm market. Our main areas of focus are Fintech and Logistics, but we also invest in other verticals where there is empiric evidence of market fit and a proven business model in other geographies.",VC,"$25,000","$250,000"
Arrowshare Ventures,https://ars.ventures/,"Austin, TX","Botswana,Côte d'Ivoire,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Kenya,Malawi,Mali,Mauritius,Namibia,Nigeria,Senegal,Sierra Leone,Somalia,South Africa,Tanzania,Uganda,Zambia,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Brazil,Colombia,Costa Rica,Cuba,Dominican Republic,Jamaica,Mexico,Panama,Sant Kitts and Nevis,Sant Lucia,USA,Venezuela,China,Hong Kong,India,Indonesia,Japan,Malaysia,Maldives,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Armenia,Austria,Belgium,Croatia,Cyprus,Czech Republic,Denmark,Estonia,France,Germany,Greece,Iceland,Ireland,Italy,Lithuania,Monaco,Netherlands,Norway,Poland,Portugal,Slovakia,Spain,Sweden,Switzerland,UK,Egypt,Israel,Kuwait,Morocco,Saudi Arabia,UAE,Australia,Micronesia,New Zealand,Papua New Guinea,Samoa,Solomon Islands","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in all sectors from AI, E-commerce, Foodtech, SaaS, Fintech, and many more.",VC,"$200,000","$5,000,000"
Artesian,https://www.artesianinvest.com/overview-vc,"66 Hunter St, Sydney, New South Wales 2000, AU","Australia,China,New Zealand,Indonesia,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in startups operating in Australia, New Zealand, South East Asia, and China.

Artesian trusts in math, not magic. We recognize there are multiple paths to startup success. Capital-lite startups exiting to corporates at <$250M are as important to our investment strategy as $1B+ unicorns targeting world domination.
 
Artesian invests in software and hardware startups with an overweight exposure (~50% of total FUM) in 4 key sectors: Agrifood, Clean Energy, MedTech, and AI/Robotics. We also provide our Venture Capital as a Service platform to corporations, industry groups, family offices, and government organizations.

Although Artesian is the region’s most active early-stage VC investor (>500 startup investments), we are equally active in late-stage VC investments as any of our traditional VC peers.",VC,"$50,000","$1,000,000"
Artichoke Capital,https://www.artichoke.capital,"309 Ugland House, Grand Cayman, Cayman Islands","Canada,Hong Kong,Indonesia,India,Brazil,USA,Philippines,Vietnam,Singapore,Colombia,Argentina,Nigeria,Israel","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in web3 - the combination of the digitization of assets via blockchain tech, and other parallel technologies like AI (ie automation). We look for founders who have domain expertise in the verticals that they’re trying to apply tech solutions to. We are early stage (pre-seed to series A) investors.",VC,"$100,000","$500,000"
Arun John Kuruvilla,,"New York, USA","Canada,USA,India","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in early-stage startups that are building defensible technologies in cybersecurity, AI infrastructure, and developer tooling. I look for technical founding teams, scalable B2B business models, and clear pathways to product-market fit in large or fast-growing markets.",Solo angel,"$1,000","$50,000"
Aryan Agarwal,,"New Delhi, India",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in D2C,Solo angel,"$1,000","$100,000"
Ascendo VC,https://ascendo.vc,"South Miami, FL",USA,3. Early Revenue,"We invest in Seed to Series A
Companies led by founders from underrepresented segments.
Technology-based business driving transformation to improve access within growing demographic segments that are underserved
Industry sectors FinTech, EdTech, Future of Work, HealthTech, and Enterprise Software
Large and growing market opportunity that promotes equitable and inclusive outcomes
Post revenue",VC,"$100,000","$500,000"
Ascension,https://www.ascension.vc/,"Ascension, 4th Floor, 20 Air St, Soho, London, W1B 5AN",UK,"2. Prototype,3. Early Revenue",We invest in UK business raising their first or second round. Ascension can lead rounds or follow alongside other funds or angels. Our goal is to partner with you to accelerate growth towards Series A and beyond.,VC,"$100,000","$500,000"
Ascentro Capital Partners,https://www.ascentro.com," Level 18/55 Shortland Street, Auckland Central, Auckland 1010","New Zealand,USA,Australia",5. Growth,"We invest in AI, Fintech, Cybersecurity, Health, Hardware, Ecommerce, Marketplaces, Education, Enterprise, Childcare, Financial Services
",PE fund,"$5,000,000","$100,000,000"
Asif Iqbal,,"San Francisco, US",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in Tech, AI, SaaS for founders in the San Francisco area.",Solo angel,"$5,000","$100,000"
Asif Ventures,https://asif.ventures/,"STARTUP VILLAGE, SCIENCE PARK 608, 1098 XH Amsterdam, Netherlands",Netherlands,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Dutch-based students and recent graduate startups.,VC,"$25,000","$100,000"
Assured Asset Management Limited,https://www.assuredam.com,"23/F, Arion Commercial Centre, 2-12 Queens Road West, Sheung Wan, Hong Kong","Hong Kong,USA,Singapore","4. Scaling,5. Growth,6. Pre-IPO",We invest in Deep Tech startups across categories that are in a growth or later stages.,VC,"$1,000,000","$10,000,000"
Astana Technology Fund,https://www.atfund.kz/,"K. Mukhamedkhanov str., 5, Astana, Kazakhstan","Azerbaijan,Kazakhstan,Kyrgyzstan,Uzbekistan,Georgia,Latvia","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Fintech, IoT, smartcity, SaaS, EdTech, artificial intelligence",Corporate VC,"$50,000","$200,000"
Astella Investimentos,http://astellainvest.com/,"R. Prof. Artur Ramos 241, São Paulo-SP, Brazil",Brazil,"3. Early Revenue,4. Scaling",We invest in Brazil-based entrepreneurs building technology startups.,VC,"$500,000","$5,000,000"
Aster Capital,https://www.aster.com/,"26 Avenue de l'Opéra, Paris, 75001, FR","USA,Israel,France,Italy","3. Early Revenue,4. Scaling",We invest in Mobility - Industry 4.0 - B2B SaaS,VC,"$500,000","$5,000,000"
Astérion Impact,https://www.asterionimpact.com/,"23 rue du Cherche Midi, 75006 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Impact Start Ups to help them reach their market fit.,VC,"$500,000","$2,000,000"
Aston Capital,http://www.astoncapital.net/,"355 Alhambra Circle, Suite 1550, Coral Gables, Florida 33134, US","USA,Israel,UK","3. Early Revenue,6. Pre-IPO,5. Growth,4. Scaling,2. Prototype,1. Idea or Patent",We invest across all areas,Family office,"$500,000","$2,000,000"
Astorya,http://astorya.vc/,"Rue de Washington, Paris, Ile de France 75008, FR","France,Germany,UK,Spain,Belgium,Netherlands,Poland,Czech Republic,Estonia,Ukraine,Portugal,Italy,Greece,Ireland,Norway,Sweden,Denmark,Finland,Latvia,Lithuania,Belarus,Slovakia,Slovenia,Hungary,Romania,Bulgaria,Croatia,Switzerland,San Marino,Liechtenstein","3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in insurance-related technologies in Europe to help you get to market faster. #insurtech #fintech #digitalhealth #cybersecurity #mobility #smartcities,VC,"$120,000","$300,000"
Atanova Ventures,https://atanova.com/,"Çınarlı, 1572. Sk. No:33, 35110 Konak/İzmir Withco, 35110 Konak/İzmir/Turkey","Turkey,USA","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in MarketPlaces, Fintech, Games, Proptech, Health Tech, Energy, Vegan Food, Edtech and Recycling ventures have priority at Atanova Ventures.",VC,"$25,000","$150,000"
Atento Capital,https://www.atentocapital.com/,"107 N Boulder Ave Ste. A, Tulsa, OK 74103, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Pre-Seed, Seed, and A software companies in Tulsa, Oklahoma, and Series A, B, and C software companies, as well as Seed and A funds not in Tulsa, with the intention of helping them expand to Tulsa.",VC,"$250,000","$3,000,000"
Athenian VC,https://www.athenian.vc/,"1 Lincoln Street, Floor 24, Boston, MA 02111, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in highly capital-efficient, US and UK pre-seed and seed-stage technology companies with clear pathways to long-term profitability.",VC,"$50,000","$1,000,000"
Atland Ventures,https://www.atlandventures.com/,"321 19th Ave S, Minneapolis, MN 55455",USA,"2. Prototype,3. Early Revenue",We invest in companies solving problems felt by Gen Z. We invest $25k into pre-seed/seed stage companies from any industry and geography across the U.S.,VC,"$25,000","$50,000"
Atlanta Seed Company,http://www.atlantaseedcompany.com/,"75 5th Street NW, Suite 426, Atlanta, GA 30318",USA,"3. Early Revenue,4. Scaling","We invest in enterprise software, marketplaces, and healthcare IT, but are technically industry agnostic. We invest in early revenue companies (post-revenue) up to $1M in ARR, primarily in the Southeastern US.",VC,"$200,000","$1,000,000"
Atlantic Labs,https://www.atlanticlabs.de/,"Rosenthalter Str. 13, Berlin, 10119, Germany","Germany,Austria,Switzerland,Sweden","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in mission-driven founders in Europe.,VC,"$300,000","$1,000,000"
Atlantis Ventures,https://atlantis-ventures.com,"Baaderstr. 88, 80469 Munich, Germany","Germany,Austria,Switzerland,Sweden,UK,Belgium,Denmark,Netherlands,USA,Canada,Finland,Estonia,Latvia,Lithuania,Luxembourg,Spain,Czech Republic,France,Hungary,Iceland,New Zealand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B, B2C, SaaS, fintech, climate tech, proptech, software, marketplace, real estate, platform, health tech, e-commerce, ad tech, logistics, deep tech, Web3, big data, AI, ML, AR, generative AI.",VC,"$25,000","$300,000"
Atlas Ventures (Singapore),http://atlas.ventures/,"80 Raffles Place, #57-01, Singapore, Singapore 048624, SG","Singapore,Thailand,Vietnam,Philippines,Malaysia,Indonesia,USA,Israel,Australia","3. Early Revenue,4. Scaling","We invest in startups within fast-growing, overlooked verticals and geographies. Currently, we're focused on cybersecurity, ecommerce enablers, interactive/ new media, and startups looking to digitize traditional industries.",VC,"$500,000","$5,000,000"
Atlas Ventures (UK),https://www.atlasven.com/,"London, UK","UK,France,Germany,Belgium,Netherlands,Luxembourg,Switzerland,Norway,Sweden,Finland,Estonia","3. Early Revenue,4. Scaling",We invest in industrial decarbonisation and digitalisation,VC,"$300,000","$1,500,000"
Atomico,https://www.atomico.com/,"29 Rathbone Street, London, England W1T 1NJ, GB","Albania,Austria,Belarus,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK","3. Early Revenue,4. Scaling,5. Growth","We invest in ambitious tech founders at Series A and beyond with a particular focus on Europe, leveraging deep operational experience to supercharge their growth.",VC,"$5,000,000","$20,000,000"
ATP Fund,https://www.atpfund.com,"1108 Lavaca Street, Austin, TX 78701",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in deep science startups from underserved US markets focused on future of sustainable energy, health, and work.",VC,"$250,000","$1,000,000"
Atria Ventures,https://atria.vc/,"San Francisco, CA","USA,Canada,UK,Germany,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in techbio + health at early stage.,VC,"$250,000","$1,500,000"
Atta Impact Capital,https://www.attaimpact.capital/,"San Jose, Costa Rica","Mexico,Guatemala,Costa Rica,El Salvador,Honduras,Nicaragua,Belize,Panama","3. Early Revenue,4. Scaling",We invest in all sectors. The investment must have quantifiable social or environmental impact case within Central America or Southern Mexico.,VC,"$50,000","$150,000"
Audacious Ventures,https://www.audacious.co/,"San Francisco, USA","USA,Canada,UK,Germany,France,Mexico,Israel,India","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed stage companies: SaaS, Marketplaces, Crypto",VC,"$500,000","$4,000,000"
Audere Capital,https://www.audere.capital/,"New York City, NY",USA,"2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in early-stage investments (Pre-Seed, Seed, and Series A) in advanced technology markets—artificial intelligence, robotics and automation, cybersecurity, advanced manufacturing, and next-generation communication— that are positioned for hypergrowth. ",VC,"$250,000","$3,000,000"
Augmentum Fintech,https://augmentum.vc/,4 Chiswell Street,"Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in European fintech companies at Series A and beyond.,VC,"$2,000,000","$14,000,000"
Aurelia Ventures,https://aureliaventures.com,"2021 Fillmore St, San Francisco, California 94115, US",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in senior enterprise executives and U.S. government veterans with at least 10 years of experience who are building B2B software companies.

Over the past six years, we have supported more than 160 early-stage startups across the enterprise, fintech, MLOps, and public safety sectors.","Incubator, Accelerator","$10,000","$50,000"
Auriga Cyber Ventures,https://www.cyberimpactventures.com/,"250 Bis Rue du Faubourg Saint-Honoré, 75008 Paris","France,Switzerland,UK,Belgium,Netherlands,Germany,Luxembourg",3. Early Revenue,We invest in cybersecurity.,VC,"$500,000","$1,000,000"
Auset Ventures,https://www.ausetventures.com,"Santa Monica, CA","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in companies disrupting legacy industries with AI/ML.,VC,"$200,000","$8,000,000"
Autonom Ventures,https://holding.ro/,"Bucharest, Calea Floreasca 131-137, Nusco Building, floor 7, Romania",Romania,"5. Growth,4. Scaling,3. Early Revenue,2. Prototype","We invest in DevOps, Fintech, Mobility, EV Mobility startups",Family office,"$5,000","$500,000"
Autotech Ventures,https://www.autotechvc.com/,"525 Middlefield Rd, Menlo Park, CA 94025, US","USA,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in startups solving ground transportation and mobility challenges.,VC,"$500,000","$8,000,000"
AV8,https://av8.vc/,"530 Lytton Ave, Palo Alto, California 94301, US","USA,UK",3. Early Revenue,"We invest in pre-seed to series A startups building products with technical moats in enterprise saas, developer tools, data infrastructure, biotech, healthcare, fintech, and insurtech",VC,"$500,000","$8,000,000"
Avalanche VC,Https://avalanche.vc,"2105 5th Ave, Seattle, WA 98121","USA,UK","3. Early Revenue,2. Prototype","We invest in pre-seed and seed stage technology companies transforming how people work, learn, and live",VC,"$25,000","$50,000"
AvantLab,https://avantlab.vc/,"Buenos Aires, AR","Argentina,Mexico,Colombia,Peru,Chile,Uruguay,Costa Rica,Ecuador,Paraguay","1. Idea or Patent,2. Prototype,3. Early Revenue","We accelerate and invest in healthtech and biotech startups from the entire LatAm region, from an idea stage to pre-series","Incubator, Accelerator","$5,000","$150,000"
Avatar Growth Capital,https://www.avatargcp.com/,"BKC, Mumbai","India,USA","3. Early Revenue,4. Scaling,5. Growth","We invest in growth-stage tech companies that have demonstrated product-market fit and are ready to scale
Sector Focus: SaaS, Fintech, Healthtech, Deeptech, Adtech, Legaltech, Logistics Tech, Supply Chain Tech",VC,"$5,000,000","$20,000,000"
Avelana,http://www.avelana.fr/,"Montpellier, France",France,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies based in France that aim to have a global impact by offering innovative solutions or services that accelerate the ecological transition. In particular, we support companies that work towards achieving SDGs 2, 13, and 15, and secondarily SDGs 6, 11, and 12.

Here are some themes that currently interest us:

Agroecological/regenerative agriculture
Agricultural production
Services to the agricultural sector: advice and support to farmers, assistance with installation, job creation and agricultural training, financing of the agroecological transition
Digital tools: software, marketplaces, decision-making tools, carbon valuation and ecosystem services
Agro-supplies: biocontrol products, biostimulants, agroecological seeds, other sustainable inputs and equipment
Sustainable food and agro-industrial systems
Sustainable food systems (reduction in animal protein consumption, alternative proteins)
Development of short circuits and marketing solutions that aim to bring farmers closer to consumers and increase the traceability and transparency of supply chains + territorial resilience
Development of innovative sectors such as biosourced materials
Circular economy: waste reduction and management, co-product valorization, anti-waste, composting...

We invest at pre-seed, seed, and series A phases by injecting tickets from €200k to €2.5M.",Family office,"$200,000","$2,000,000"
Avesta Fund,https://www.avesta.fund/,"70 Broadway, Suite 300, Denver, COLORADO 80203, US","USA,Canada,Mexico","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Climate tech, Future of work, Mobility, EdTech",VC,"$150,000","$500,000"
Avila VC,https://www.avila.vc/,"Miami, FL","USA,UK,Australia,Israel,Brazil,Mexico","2. Prototype,3. Early Revenue,4. Scaling","We invest in climate tech, human health, agtech, biotech, neural tech ",VC,"$250,000","$5,000,000"
AVP AXA Venture Partners,https://www.axavp.com/,"9 Place de la Madeleine, 75008, Paris, France","France,USA,UK,Israel,Canada,Germany,Spain,Portugal,Switzerland,Norway,Finland,Sweden,Luxembourg,Belgium,Netherlands,Italy,Poland,Latvia,Estonia,Ireland,Austria,Hungary,Czech Republic,Greece","3. Early Revenue,4. Scaling,5. Growth","We invest in software companies (Enterprise software, Digital Health, Fintech, Insurtech, B2C marketplaces) that are typically at Series A stage or above. 

We are a cross-stage and cross-border fund with ticket sizes ranging from US$2m to $50m. 

Our teams are based in London, Paris, New York, San Francisco, and Hong Kong and we invest in the EU, the UK, the US, and Israel.",VC,"$3,000,000","$50,000,000"
AVV Ascend Vietnam Ventures,http://avv.co/,"Ho Chi Minh City, VN","USA,Philippines,Singapore,Vietnam","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in VN-based founders and companies solving emerging Asia/global problems, or globally-based teams solving for VN/emerging Asia.  

We are a generalist VC (We look at all sectors) and especially interested in fintech, edtech, future of work, enterprise SaaS, health tech, and logistics. 

We'd like to be your first institutional VC.",VC,"$500,000","$2,000,000"
Awesome Ventures,https://awesome-ventures.vc,"12 Marina Boulevard #17-01, Tower 3, Marina Bay Financial Centre, Singapore 018982","USA,UK","2. Prototype,3. Early Revenue,4. Scaling","We invest in US and UK-based B2B technology businesses from the Seed to Series A stage. Our key focus areas are Enterprise Software, ClimateTech, FinTech, MedTech, and Logistics & Mobility. 

",VC,"$25,000","$250,000"
Axeleo Capital,https://www.axc.vc,"2 rue du roule, 75001, Paris","Albania,Andorra,Austria,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Enterprise Software, Cybersecurity, B2B Fintech, Crypto & Web 3.0, Proptech & Construction tech",VC,"$100,000","$2,000,000"
Axial Capital,https://axialcapital.co.uk/,"63 Hatton Garden, London EC1N 8LE","UK,Canada,Australia,France,Italy,Denmark,Sweden,Spain,Poland","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in IP driven or tech-enabled B2B solutions across most sectors. Proven market fit and consistent revenue growth over 12+ months is our starting point.  Based in London we provide structured finance and private equity for growth, and we lead on investment rounds drawing additional capital from public and private capital markets including main-board and growth-stage stock exchanges in the UK, North America and Australia.",Corporate VC,"$50,000","$1,000,000"
Axial VC,http://axialvc.com/,"228 Grant Ave, San Francisco, CA 94108",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in biologics and software for technical markets,VC,"$250,000","$2,000,000"
Azur Innovation Management,https://www.azurinnov.com/,"117, Hassan II Avenue, Blue Park building, 11th floor, Casablanca, Morocco",Morocco,"4. Scaling,5. Growth","We invest in renewable energy, water and energy efficiency, carbon emission reduction, carbon transformation systems, sustainable development industries and services, the circular economy, cleantech, Morocco's global trades (automotive, aeronautics, electronics), fintech, telemedicine, biotech, agritech, smart textiles, technology, internet, and software.",VC,"$250,000","$2,500,000"
b.value AG,https://bvalue.de,"Otto-Hahn-Straße 15, 44227 Dortmund, Germany","Germany,Austria,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in biotechnology (including precision fermentation, sustainable chemicals, food/feed, life science methods) and advanced materials.",VC,"$100,000","$550,000"
